parliament_number,member_id,member_display_name,raw_school_text,source_url,is_international,suggested_action,notes
47,aph-231199,"URQUHART, Anne Elizabeth",Ulverstone High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '231199',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ulverstone-high-school
46,aph-00amt,"VAMVAKINOU, Maria",Princess Hill High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '00AMT',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-princess-hill-high-school
47,aph-00amt,"VAMVAKINOU, Maria",Princess Hill High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '00AMT',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-princess-hill-high-school
48,aph-192970,"WATERS, Larissa Joy",Kelvin Grove State High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '192970',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-kelvin-grove-state-high-school
46,aph-192970,"WATERS, Larissa Joy",Kelvin Grove State High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '192970',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-kelvin-grove-state-high-school
47,aph-192970,"WATERS, Larissa Joy",Kelvin Grove State High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '192970',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-kelvin-grove-state-high-school
48,aph-193430,"WATTS, the Hon. Timothy (Tim) Graham",Centenary Heights High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '193430',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-centenary-heights-high-school
46,aph-193430,"WATTS, the Hon. Timothy (Tim) Graham",Centenary Heights High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '193430',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-centenary-heights-high-school
47,aph-193430,"WATTS, the Hon. Timothy (Tim) Graham",Centenary Heights High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '193430',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-centenary-heights-high-school
48,aph-281688,"WEBSTER, Dr Anne Elizabeth",Taralgon High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '281688',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-taralgon-high-school
46,aph-281688,"WEBSTER, Dr Anne Elizabeth",Taralgon High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '281688',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-taralgon-high-school
47,aph-281688,"WEBSTER, Dr Anne Elizabeth",Taralgon High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '281688',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-taralgon-high-school
47,aph-iwk,"WHITE, Linda",Greythorn High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'IWK',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-greythorn-high-school
48,aph-224102,"WHITE, the Hon Rebecca Peta",Sorell High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '224102',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-sorell-high-school
46,aph-241590,"WICKS, Lucy Elizabeth",Duval High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '241590',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-duval-high-school
46,aph-241590,"WICKS, Lucy Elizabeth",Gosford Christian School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '241590',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-gosford-christian-school
48,aph-c2t,"WILKIE, Andrew Damien",St Gregory's College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'C2T',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-st-gregory-s-college
46,aph-c2t,"WILKIE, Andrew Damien",St Gregory's College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'C2T',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-st-gregory-s-college
47,aph-c2t,"WILKIE, Andrew Damien",St Gregory's College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'C2T',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-st-gregory-s-college
48,aph-265970,"WILSON, the Hon. Joshua (Josh) Hamilton",John Curtin High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '265970',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-john-curtin-high-school
46,aph-265970,"WILSON, the Hon. Joshua (Josh) Hamilton",John Curtin High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '265970',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-john-curtin-high-school
47,aph-265970,"WILSON, the Hon. Joshua (Josh) Hamilton",John Curtin High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '265970',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-john-curtin-high-school
48,aph-265970,"WILSON, the Hon. Joshua (Josh) Hamilton",Swanbourne High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '265970',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-swanbourne-high-school
46,aph-265970,"WILSON, the Hon. Joshua (Josh) Hamilton",Swanbourne High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '265970',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-swanbourne-high-school
47,aph-265970,"WILSON, the Hon. Joshua (Josh) Hamilton",Swanbourne High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '265970',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-swanbourne-high-school
48,aph-e0f,"WOOD, the Hon. Jason Peter",Ferntree Gully Technical School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'E0F',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ferntree-gully-technical-school
46,aph-e0f,"WOOD, the Hon. Jason Peter",Ferntree Gully Technical School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'E0F',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ferntree-gully-technical-school
47,aph-e0f,"WOOD, the Hon. Jason Peter",Ferntree Gully Technical School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'E0F',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ferntree-gully-technical-school
48,aph-hwb,"ZAPPIA, Antonio (Tony)",Enfield High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HWB',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-enfield-high-school
46,aph-hwb,"ZAPPIA, Antonio (Tony)",Enfield High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HWB',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-enfield-high-school
47,aph-hwb,"ZAPPIA, Antonio (Tony)",Enfield High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HWB',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-enfield-high-school
